radar,datetime,height,u,v,w,ff,dd,sd_vvp,gap,eta,dens,dbz,dbz_all,n,n_dbz,n_all,n_dbz_all,rcs,sd_vvp_threshold,vcp,radar_latitude,radar_longitude,radar_height,radar_wavelength,source_file
200,2024-09-24T02:00:00Z,675,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,725,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,775,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,825,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,875,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,925,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,975,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,25,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,75,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,125,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,175,-1.4189715257532878,-1.1470297837709416,,1.8245979052263066,231.04955690382096,,FALSE,,24.50850391236614,,,48,1,,,23.937831015005788,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,225,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,275,,,,,,,FALSE,,0,,,,2,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,325,-0.8590547786851839,0.675538782789876,,1.0928530367048799,308.1806081362098,,FALSE,,16.171453539344974,,,36,2,,,9.222667825974101,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,375,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,425,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,475,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,525,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,575,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,625,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,675,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,725,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,775,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,825,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,875,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,925,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:30:00Z,975,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,25,-3.262106239388309,1.1023153654695756,,3.443317627231978,288.6708939395417,,FALSE,,118.34175885620694,,,6,3,,,3.966499755026332,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,75,-2.4594583473971037,0.20490233973368066,,2.4679789973599107,274.7624265566048,,FALSE,,27.06661601736024,,,27,1,,,10.444041476753386,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,125,-3.2166006358291592,0.10174701686586594,,3.2182094564924846,271.8117671824963,,FALSE,,96.49629341853401,,,46,5,,,52.78318272017584,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,175,-1.4189715257532878,-1.1470297837709416,,1.8245979052263066,231.04955690382096,,FALSE,,16.412571471074376,,,48,2,,,23.937831015005788,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,225,-3.9239499230125174,-0.7502288176247442,,3.9950251910475565,259.1761165191059,,FALSE,,26.845895546029872,,,55,2,,,14.47404110348862,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,275,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,325,-0.8590547786851839,0.675538782789876,,1.0928530367048799,308.1806081362098,,FALSE,,20.727844659415766,,,36,2,,,9.222667825974101,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,375,,,,,,,FALSE,,0,,,,1,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,425,-0.16670372159657568,1.8006169388647977,,1.8083173093572331,354.71055196534184,,FALSE,,5.885250898100869,,,20,1,,,18.56904591506065,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,475,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,525,-2.0933349078322965,-3.6560031900208583,,4.212886227017286,209.79436041538293,,FALSE,,6.516317214436713,,,16,1,,,8.274057520347764,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,575,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,625,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,675,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,725,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,775,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,825,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,875,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,925,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:00:00Z,975,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,25,-3.262106239388309,1.1023153654695756,,3.443317627231978,288.6708939395417,,FALSE,,38.26086865657671,,,6,1,,,3.966499755026332,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,75,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,125,-3.2166006358291592,0.10174701686586594,,3.2182094564924846,271.8117671824963,,FALSE,,11.483166489729276,,,46,1,,,52.78318272017584,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,175,-1.4189715257532878,-1.1470297837709416,,1.8245979052263066,231.04955690382096,,FALSE,,41.49507193916434,,,48,3,,,23.937831015005788,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,225,-3.9239499230125174,-0.7502288176247442,,3.9950251910475565,259.1761165191059,,FALSE,,48.01936446208262,,,55,6,,,14.47404110348862,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,275,-3.3211491843452117,-0.7072506061196873,,3.3956200206344542,257.97823763434394,,FALSE,,14.699548816967035,,,50,4,,,10.604931284990576,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,325,-0.8590547786851839,0.675538782789876,,1.0928530367048799,308.1806081362098,,FALSE,,21.644048933268557,,,36,4,,,9.222667825974101,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,375,-1.5422235814378698,-0.9270792145995527,,1.7994247539937793,238.98859693223696,,FALSE,,23.940131542930466,,,31,3,,,12.948934332778455,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,425,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,475,,,,,,,FALSE,,0,,,,1,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,525,-2.0933349078322965,-3.6560031900208583,,4.212886227017286,209.79436041538293,,FALSE,,6.1471123968852694,,,16,2,,,8.274057520347764,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,575,-0.43449013046475016,-0.5463201701730453,,0.6980310894288169,218.49533921648919,,FALSE,,3.858686955281137,,,18,1,,,8.452448402000357,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,625,2.018860730221364,-2.203568030381321,,2.988563319146602,137.50476839122052,,FALSE,,1.6460198972124414,,,9,1,,,12.174835650847916,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,675,6.473066186044049,6.7406714445580675,,9.345439388941934,43.8398016801387,,FALSE,,1.320969481831964,,,4,1,,,11.507556675381775,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,725,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,775,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,825,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,875,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,925,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T03:30:00Z,975,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,25,,,,,,,FALSE,,0,,,,1,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,75,-2.4594583473971037,0.20490233973368066,,2.4679789973599107,274.7624265566048,,FALSE,,15.780509386858403,,,27,4,,,10.444041476753386,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,125,-3.2166006358291592,0.10174701686586594,,3.2182094564924846,271.8117671824963,,FALSE,,135.80279689784376,,,46,12,,,52.78318272017584,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,175,-1.4189715257532878,-1.1470297837709416,,1.8245979052263066,231.04955690382096,,FALSE,,101.19243887863543,,,48,12,,,23.937831015005788,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,225,-3.9239499230125174,-0.7502288176247442,,3.9950251910475565,259.1761165191059,,FALSE,,60.02097820202141,,,55,10,,,14.47404110348862,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,275,-3.3211491843452117,-0.7072506061196873,,3.3956200206344542,257.97823763434394,,FALSE,,33.33100675486645,,,50,9,,,10.604931284990576,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,325,-0.8590547786851839,0.675538782789876,,1.0928530367048799,308.1806081362098,,FALSE,,16.830665917450986,,,36,4,,,9.222667825974101,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,375,-1.5422235814378698,-0.9270792145995527,,1.7994247539937793,238.98859693223696,,FALSE,,5.116602542300691,,,31,2,,,12.948934332778455,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,425,-0.16670372159657568,1.8006169388647977,,1.8083173093572331,354.71055196534184,,FALSE,,25.099335259710664,,,20,5,,,18.56904591506065,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,475,,,,,,,FALSE,,0,,,,1,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,525,-2.0933349078322965,-3.6560031900208583,,4.212886227017286,209.79436041538293,,FALSE,,2.365743518002107,,,16,1,,,8.274057520347764,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,575,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,625,2.018860730221364,-2.203568030381321,,2.988563319146602,137.50476839122052,,FALSE,,4.293597930459978,,,9,1,,,12.174835650847916,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,675,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,725,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,775,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T04:00:00Z,825,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
